,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Top 10 Apps,,,Assumed Earnings,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Red Ball 4,,,"$423,000",,,
,,,,,,,,,,Geometry Dash Lite,,,"$322,000",,,
,,,,,,,,,,Smashy Road: Arena,,,"$286,000",,,
,,,,,,,,,,Geometry Dash World,,,"$286,000",,,
,,,,,,,,,,Hill Climb Racing 2,,,"$282,000",,,
,,,,,,,,,,Gear.Club - True Racing,,,"$278,000",,,
,,,,,,,,,,UNO & Friends,,,"$278,000",,,
,,,,,,,,,,Choices: Stories You Play,,,"$270,000",,,
,,,,,,,,,,Ao Oni2,,,"$257,000",,,
,,,,,,,,,,Clash Royale,,,"$251,000",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
